x                 y
0.00000000     1.00000000
0.10000000     0.99500000
0.20000000     0.98034566
0.30000000     0.95687849
0.40000000     0.92586818
0.50000000     0.88885072
0.60000000     0.84745758
0.70000000     0.80326685
0.80000000     0.75769490
0.90000000     0.71193330
1.00000000     0.66692618
